Date,Primary Type,Latitude,Longitude
12/11/2023 02:15:00 PM,DECEPTIVE PRACTICE,41.90117,-87.77169
09/05/2023 02:51:00 PM,BATTERY,41.862915,-87.70974
07/01/2023 09:00:00 AM,DECEPTIVE PRACTICE,41.941357,-87.78619
09/08/2021 04:45:00 PM,HOMICIDE,41.87319,-87.74345
11/19/2010 09:00:00 AM,ROBBERY,41.755352,-87.65144
03/20/2023 09:00:00 PM,MOTOR VEHICLE THEFT,41.965908,-87.7084
09/01/2023 01:30:00 AM,PROSTITUTION,41.807144,-87.74192
07/07/2023 04:00:00 AM,THEFT,41.729008,-87.55814
09/01/2023 01:09:00 PM,BATTERY,41.654835,-87.60756
08/30/2023 11:30:00 AM,OFFENSE INVOLVING CHILDREN,41.742134,-87.556366
09/01/2023 02:10:00 AM,PROSTITUTION,41.807648,-87.74116
07/30/2023 09:00:00 AM,DECEPTIVE PRACTICE,41.752937,-87.549065
08/17/2023 06:00:00 PM,MOTOR VEHICLE THEFT,41.939053,-87.73044
11/10/2023 10:50:00 AM,THEFT,41.991264,-87.66031
11/10/2023 05:30:00 AM,BATTERY,41.929512,-87.7991
11/10/2023 03:00:00 AM,THEFT,41.777,-87.652
11/10/2023 05:30:00 PM,CRIMINAL DAMAGE,41.89764,-87.72738
11/10/2023 06:00:00 PM,CRIMINAL DAMAGE,41.890427,-87.767784
11/10/2023 09:00:00 PM,MOTOR VEHICLE THEFT,41.726112,-87.65915
11/07/2023 05:30:00 PM,THEFT,41.986,-87.655266
10/29/2023 12:30:00 PM,CRIMINAL DAMAGE,41.9821,-87.77361
09/06/2023 02:00:00 PM,CRIMINAL DAMAGE,41.90713,-87.69447
09/06/2023 09:22:00 AM,CRIMINAL DAMAGE,41.81897,-87.64255
09/06/2023 02:10:00 AM,BATTERY,41.746433,-87.64635
09/06/2023 05:38:00 PM,BATTERY,41.760296,-87.68435
09/06/2023 12:58:00 PM,BATTERY,41.77988,-87.63679
09/06/2023 05:16:00 AM,OTHER OFFENSE,41.853058,-87.65019
09/06/2023 09:30:00 PM,THEFT,41.84388,-87.62043
09/06/2023 08:50:00 PM,BURGLARY,41.85869,-87.63189
09/06/2023 04:41:00 PM,MOTOR VEHICLE THEFT,41.93541,-87.74675
09/06/2023 12:00:00 PM,ASSAULT,41.968464,-87.70761
09/06/2023 05:30:00 PM,THEFT,41.96608,-87.647156
09/06/2023 07:54:00 PM,THEFT,41.73628,-87.58521
09/06/2023 05:30:00 PM,MOTOR VEHICLE THEFT,41.76366,-87.62686
09/06/2023 05:05:00 PM,CRIMINAL DAMAGE,41.891945,-87.76877
06/18/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
09/06/2023 09:32:00 AM,ASSAULT,41.748775,-87.60516
09/06/2023 08:15:00 AM,CRIMINAL DAMAGE,41.769924,-87.63727
09/06/2023 06:20:00 PM,CRIMINAL DAMAGE,41.91347,-87.76437
09/06/2023 11:11:00 PM,BURGLARY,41.809803,-87.64557
09/06/2023 06:45:00 AM,THEFT,41.987156,-87.66836
09/06/2023 06:00:00 PM,CRIMINAL DAMAGE,41.80606,-87.590996
07/24/2023 09:00:00 AM,DECEPTIVE PRACTICE,42.013786,-87.67318
09/06/2023 03:30:00 AM,OFFENSE INVOLVING CHILDREN,41.92147,-87.7328
09/06/2023 07:00:00 PM,OTHER OFFENSE,42.000298,-87.80798
09/06/2023 03:10:00 PM,ASSAULT,41.76889,-87.614136
09/06/2023 10:30:00 AM,ASSAULT,41.872963,-87.75366
09/06/2023 07:05:00 PM,NARCOTICS,41.880413,-87.72811
09/06/2023 12:32:00 AM,OTHER OFFENSE,41.702026,-87.56398
09/05/2023 08:00:00 AM,ROBBERY,41.90264,-87.72811
09/06/2023 09:30:00 PM,THEFT,41.80531,-87.589
09/06/2023 09:42:00 AM,CRIMINAL TRESPASS,41.88777,-87.6443
09/06/2023 06:00:00 PM,MOTOR VEHICLE THEFT,41.973923,-87.679344
09/06/2023 08:49:00 PM,CRIMINAL DAMAGE,41.853844,-87.62384
09/05/2023 12:00:00 PM,DECEPTIVE PRACTICE,41.776726,-87.68723
09/06/2023 07:00:00 PM,MOTOR VEHICLE THEFT,41.897617,-87.76914
09/06/2023 09:00:00 AM,THEFT,41.92085,-87.77318
09/06/2023 06:00:00 PM,BURGLARY,41.85519,-87.62387
09/06/2023 02:52:00 AM,CRIMINAL TRESPASS,41.967224,-87.70966
09/06/2023 04:07:00 PM,MOTOR VEHICLE THEFT,41.788525,-87.619064
09/06/2023 01:30:00 PM,ASSAULT,41.884476,-87.63131
09/06/2023 11:00:00 AM,CRIMINAL DAMAGE,41.754475,-87.56507
08/30/2023 10:00:00 AM,DECEPTIVE PRACTICE,41.872845,-87.69944
09/06/2023 12:35:00 AM,BATTERY,41.78221,-87.69836
09/06/2023 09:55:00 PM,BATTERY,41.686268,-87.61979
09/06/2023 10:00:00 PM,BATTERY,41.98078,-87.66681
09/06/2023 01:21:00 AM,BURGLARY,41.92066,-87.74045
09/06/2023 08:00:00 PM,MOTOR VEHICLE THEFT,41.75473,-87.68664
09/06/2023 10:30:00 PM,OTHER OFFENSE,41.88303,-87.761635
09/06/2023 10:06:00 AM,ROBBERY,41.817978,-87.72394
09/06/2023 08:00:00 PM,THEFT,41.813835,-87.616714
09/06/2023 02:00:00 PM,ASSAULT,41.974186,-87.65636
09/06/2023 09:25:00 PM,BATTERY,41.69402,-87.6554
09/06/2023 02:00:00 PM,MOTOR VEHICLE THEFT,41.878605,-87.6851
09/06/2023 01:40:00 PM,STALKING,41.692028,-87.60598
07/23/2023 12:00:00 AM,OTHER OFFENSE,41.75464,-87.67682
09/06/2023 02:30:00 AM,CRIMINAL DAMAGE,41.74507,-87.61355
09/06/2023 12:25:00 PM,BURGLARY,41.768,-87.61854
09/06/2023 03:01:00 AM,BURGLARY,41.971874,-87.692566
09/06/2023 09:10:00 PM,BATTERY,41.755363,-87.56583
09/06/2023 02:10:00 AM,CRIMINAL TRESPASS,41.9611,-87.767265
08/29/2023 03:56:00 PM,CRIMINAL TRESPASS,41.78767,-87.647415
09/06/2023 08:05:00 AM,THEFT,41.783092,-87.608444
09/06/2023 06:18:00 PM,THEFT,41.96307,-87.65598
09/06/2023 07:00:00 PM,MOTOR VEHICLE THEFT,41.75256,-87.716255
09/06/2023 11:00:00 PM,MOTOR VEHICLE THEFT,41.665813,-87.55885
09/06/2023 01:34:00 AM,ASSAULT,41.891193,-87.75581
09/06/2023 12:53:00 AM,MOTOR VEHICLE THEFT,41.851486,-87.728775
09/06/2023 02:00:00 AM,THEFT,41.90599,-87.678375
09/06/2023 08:01:00 PM,BURGLARY,41.89401,-87.751434
09/17/2004 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
04/19/2023 11:30:00 AM,KIDNAPPING,41.866287,-87.71573
09/06/2023 11:25:00 PM,ROBBERY,41.967648,-87.69377
09/06/2023 06:15:00 AM,THEFT,41.962032,-87.6459
09/06/2023 11:50:00 PM,ROBBERY,41.76119,-87.654015
09/06/2023 02:35:00 AM,BATTERY,41.743256,-87.601364
12/15/2023 12:00:00 PM,DECEPTIVE PRACTICE,41.684048,-87.63805
09/06/2023 02:00:00 AM,ASSAULT,41.680916,-87.63236
09/06/2023 01:30:00 PM,ROBBERY,41.86854,-87.63924
08/01/2021 12:00:00 AM,SEX OFFENSE,,
09/06/2023 09:55:00 PM,CRIMINAL DAMAGE,41.91731,-87.71447
09/06/2023 10:30:00 AM,THEFT,41.833683,-87.61244
09/06/2023 10:59:00 AM,ARSON,41.930492,-87.710915
09/06/2023 09:00:00 PM,THEFT,41.771675,-87.57239
09/06/2023 03:00:00 PM,THEFT,41.78972,-87.62558
09/06/2023 11:57:00 AM,CRIMINAL DAMAGE,41.857307,-87.644775
09/06/2023 06:22:00 PM,OTHER OFFENSE,41.995365,-87.684906
09/06/2023 10:52:00 PM,OTHER OFFENSE,41.94743,-87.74712
09/06/2023 02:45:00 PM,BATTERY,41.868233,-87.704956
09/07/2023 12:00:00 AM,DECEPTIVE PRACTICE,41.97618,-87.87642
09/06/2023 03:00:00 PM,THEFT,41.71345,-87.57024
09/06/2023 01:15:00 PM,OTHER OFFENSE,42.01491,-87.67113
08/29/2023 10:45:00 AM,THEFT,41.81271,-87.60444
09/06/2023 12:00:00 PM,THEFT,41.704,-87.62062
09/06/2023 12:00:00 PM,THEFT,41.94556,-87.70728
08/31/2023 12:00:00 PM,DECEPTIVE PRACTICE,41.909958,-87.63856
09/06/2023 12:00:00 PM,MOTOR VEHICLE THEFT,41.98122,-87.78352
09/06/2023 01:28:00 AM,ROBBERY,41.849667,-87.63194
09/06/2023 11:30:00 PM,BATTERY,41.946808,-87.68264
08/19/2023 03:00:00 PM,DECEPTIVE PRACTICE,41.734833,-87.66304
09/06/2023 02:00:00 AM,MOTOR VEHICLE THEFT,41.72477,-87.62874
09/06/2023 01:00:00 AM,CRIMINAL DAMAGE,41.745316,-87.59413
09/07/2023 12:00:00 AM,STALKING,41.752728,-87.56869
09/06/2023 09:30:00 AM,THEFT,42.002575,-87.65916
08/03/2023 07:55:00 PM,THEFT,41.87412,-87.62422
09/06/2023 07:30:00 PM,THEFT,41.998127,-87.66613
09/06/2023 11:45:00 AM,BATTERY,41.899475,-87.72621
09/06/2023 06:00:00 PM,ASSAULT,41.950493,-87.6496
09/06/2023 01:30:00 PM,THEFT,41.964985,-87.75825
09/06/2023 05:30:00 PM,THEFT,41.8038,-87.59053
09/06/2023 07:40:00 AM,THEFT,41.893646,-87.63118
09/06/2023 07:35:00 PM,THEFT,41.984108,-87.66086
09/06/2023 08:34:00 AM,CRIMINAL DAMAGE,41.73516,-87.70368
09/06/2023 07:00:00 AM,CRIMINAL DAMAGE,41.771225,-87.68586
09/06/2023 02:30:00 AM,MOTOR VEHICLE THEFT,41.771114,-87.722565
09/06/2023 10:15:00 AM,SEX OFFENSE,41.94397,-87.67
09/06/2023 07:00:00 PM,MOTOR VEHICLE THEFT,41.717842,-87.56112
09/06/2023 08:00:00 PM,ASSAULT,41.749058,-87.56013
09/06/2023 08:30:00 AM,ASSAULT,41.684795,-87.7201
09/06/2023 09:00:00 AM,THEFT,41.726566,-87.63606
09/06/2023 07:00:00 PM,MOTOR VEHICLE THEFT,41.702244,-87.56398
09/06/2023 03:15:00 PM,BATTERY,41.8285,-87.643616
09/06/2023 04:30:00 PM,BURGLARY,41.758526,-87.60873
09/06/2023 06:30:00 AM,THEFT,41.90705,-87.66345
09/06/2023 03:32:00 PM,THEFT,41.935432,-87.6685
09/06/2023 09:41:00 AM,THEFT,41.998734,-87.660614
09/06/2023 07:03:00 PM,OTHER OFFENSE,41.91716,-87.72715
09/06/2023 11:00:00 PM,MOTOR VEHICLE THEFT,41.880516,-87.74384
08/07/2023 12:00:00 AM,DECEPTIVE PRACTICE,41.94905,-87.706665
09/06/2023 07:10:00 AM,OTHER OFFENSE,41.899147,-87.62791
09/06/2023 03:57:00 PM,THEFT,41.86708,-87.619
09/06/2023 10:30:00 AM,CRIMINAL TRESPASS,41.74512,-87.60138
09/06/2023 08:10:00 PM,DECEPTIVE PRACTICE,41.938267,-87.83246
09/06/2023 10:18:00 PM,CRIMINAL DAMAGE,41.747826,-87.646385
09/06/2023 06:00:00 PM,MOTOR VEHICLE THEFT,41.891895,-87.70675
09/06/2023 07:40:00 AM,CONCEALED CARRY LICENSE VIOLATION,41.97486,-87.89037
09/06/2023 09:10:00 PM,OFFENSE INVOLVING CHILDREN,41.80899,-87.70642
09/06/2023 10:00:00 PM,THEFT,41.80785,-87.72515
09/06/2023 11:58:00 PM,CRIMINAL DAMAGE,41.955738,-87.656166
09/06/2023 01:30:00 AM,ASSAULT,41.77659,-87.67506
09/06/2023 11:20:00 AM,THEFT,41.8654,-87.64066
06/12/2023 03:00:00 PM,MOTOR VEHICLE THEFT,41.813988,-87.61259
09/06/2023 05:40:00 PM,OFFENSE INVOLVING CHILDREN,41.868114,-87.63238
09/06/2023 01:26:00 PM,WEAPONS VIOLATION,41.80074,-87.6514
09/06/2023 03:30:00 PM,ASSAULT,42.005383,-87.70933
09/06/2023 03:33:00 PM,THEFT,41.81782,-87.72393
06/05/2023 12:00:00 PM,THEFT,42.007893,-87.66662
09/06/2023 09:11:00 AM,ASSAULT,41.877533,-87.672386
09/06/2023 12:40:00 AM,CRIMINAL DAMAGE,41.744083,-87.67056
09/06/2023 06:00:00 AM,BATTERY,41.897133,-87.65679
09/06/2023 09:41:00 AM,ASSAULT,41.662945,-87.64141
09/06/2023 05:00:00 PM,DECEPTIVE PRACTICE,41.949642,-87.7128
09/06/2023 04:00:00 PM,BATTERY,41.86685,-87.713
09/06/2023 11:45:00 AM,CRIMINAL DAMAGE,41.909523,-87.75399
09/06/2023 03:02:00 PM,THEFT,41.786343,-87.69761
09/06/2023 03:48:00 AM,BATTERY,41.718822,-87.64314
09/06/2023 12:18:00 AM,DECEPTIVE PRACTICE,41.779617,-87.65377
09/06/2023 03:30:00 PM,BATTERY,41.8285,-87.643616
08/26/2023 01:50:00 AM,CRIMINAL DAMAGE,41.793392,-87.71173
09/06/2023 10:00:00 AM,BURGLARY,41.780037,-87.60464
09/06/2023 06:00:00 PM,CRIMINAL DAMAGE,41.8075,-87.59023
09/06/2023 09:00:00 PM,CRIMINAL DAMAGE,41.73186,-87.55478
09/06/2023 06:00:00 AM,BATTERY,41.88109,-87.720764
09/06/2023 01:58:00 PM,BATTERY,41.744972,-87.5966
09/06/2023 08:10:00 PM,BATTERY,41.700134,-87.56198
09/06/2023 06:07:00 PM,THEFT,41.91832,-87.70524
09/06/2023 01:30:00 PM,ROBBERY,41.72787,-87.55121
09/06/2023 10:30:00 PM,MOTOR VEHICLE THEFT,41.76183,-87.62751
09/06/2023 01:50:00 AM,OTHER OFFENSE,41.80172,-87.63071
09/06/2023 06:45:00 PM,DECEPTIVE PRACTICE,41.867428,-87.62634
09/06/2023 08:45:00 AM,OTHER OFFENSE,41.929924,-87.74653
09/06/2023 03:30:00 PM,THEFT,41.685074,-87.64278
09/06/2023 11:45:00 AM,BATTERY,41.765255,-87.64126
09/06/2023 06:15:00 PM,CRIMINAL SEXUAL ASSAULT,41.871338,-87.62592
09/06/2023 10:00:00 PM,THEFT,41.973045,-87.77096
09/06/2023 07:00:00 PM,NARCOTICS,41.883266,-87.71215
09/06/2023 06:00:00 PM,CRIMINAL DAMAGE,41.807137,-87.59
09/06/2023 02:30:00 AM,MOTOR VEHICLE THEFT,41.76336,-87.71747
09/06/2023 07:45:00 PM,THEFT,41.80689,-87.589836
09/06/2023 08:46:00 AM,BATTERY,41.92537,-87.72558
09/06/2023 11:25:00 AM,CRIMINAL TRESPASS,41.982605,-87.69672
09/07/2023 12:00:00 AM,BATTERY,41.751316,-87.5638
09/06/2023 01:24:00 PM,OTHER OFFENSE,41.910816,-87.654564
09/06/2023 10:50:00 PM,ROBBERY,41.982964,-87.7169
09/06/2023 09:30:00 PM,CRIMINAL DAMAGE,41.917336,-87.712456
09/06/2023 10:10:00 AM,BATTERY,41.749226,-87.577156
09/06/2023 09:29:00 PM,BATTERY,41.800774,-87.67328
08/17/2023 12:00:00 PM,ASSAULT,41.855522,-87.68085
09/06/2023 06:18:00 PM,WEAPONS VIOLATION,41.789993,-87.652336
09/06/2023 05:30:00 PM,MOTOR VEHICLE THEFT,41.751743,-87.66186
08/28/2023 07:30:00 PM,THEFT,41.883095,-87.65038
09/06/2023 09:00:00 PM,ASSAULT,41.956596,-87.70077
09/06/2023 03:34:00 AM,ASSAULT,41.80161,-87.73933
09/06/2023 05:40:00 AM,THEFT,41.926346,-87.72486
09/06/2023 07:00:00 PM,BATTERY,41.928078,-87.78561
09/06/2023 01:19:00 PM,MOTOR VEHICLE THEFT,41.681023,-87.614685
09/02/2023 02:00:00 AM,DECEPTIVE PRACTICE,41.89076,-87.63613
09/06/2023 09:33:00 PM,OTHER OFFENSE,41.744278,-87.6475
09/06/2023 10:09:00 PM,INTERFERENCE WITH PUBLIC OFFICER,41.75851,-87.60935
09/06/2023 05:15:00 PM,BATTERY,41.91311,-87.63321
09/06/2023 07:30:00 AM,BATTERY,41.716564,-87.56463
09/06/2023 12:21:00 AM,ASSAULT,41.87268,-87.71401
09/06/2023 07:00:00 AM,BATTERY,41.822132,-87.60328
09/06/2023 11:00:00 AM,THEFT,41.788986,-87.74148
09/06/2023 09:22:00 PM,ASSAULT,41.965904,-87.6454
09/06/2023 03:45:00 PM,ASSAULT,41.858967,-87.71586
09/06/2023 12:23:00 AM,ROBBERY,41.95392,-87.70837
09/06/2023 09:00:00 AM,ASSAULT,41.765205,-87.61041
09/06/2023 03:02:00 PM,THEFT,41.808594,-87.66558
08/14/2023 03:00:00 PM,DECEPTIVE PRACTICE,41.893814,-87.62423
09/06/2023 04:31:00 AM,CRIMINAL DAMAGE,41.944386,-87.72734
09/06/2023 05:00:00 AM,SEX OFFENSE,41.883087,-87.76329
09/06/2023 02:30:00 AM,CRIMINAL SEXUAL ASSAULT,41.89222,-87.60468
09/05/2023 10:10:00 PM,CRIMINAL DAMAGE,41.879227,-87.64664
09/06/2023 10:30:00 PM,ROBBERY,41.794674,-87.62357
09/06/2023 05:00:00 PM,DECEPTIVE PRACTICE,41.722385,-87.58181
09/06/2023 02:30:00 PM,DECEPTIVE PRACTICE,41.996365,-87.70324
09/06/2023 09:30:00 AM,THEFT,41.788986,-87.74148
09/06/2023 06:09:00 PM,ROBBERY,41.82252,-87.69049
09/06/2023 02:49:00 PM,THEFT,41.891693,-87.62615
09/06/2023 10:23:00 PM,ASSAULT,41.848846,-87.62924
09/06/2023 01:00:00 AM,BATTERY,41.73955,-87.60248
08/12/2023 12:01:00 AM,DECEPTIVE PRACTICE,41.807674,-87.67588
08/14/2023 04:03:00 AM,DECEPTIVE PRACTICE,42.006924,-87.67
09/06/2023 11:54:00 PM,ASSAULT,42.001553,-87.6593
09/06/2023 08:03:00 AM,MOTOR VEHICLE THEFT,41.81258,-87.60444
09/06/2023 07:48:00 PM,CRIMINAL DAMAGE,41.745907,-87.54914
09/06/2023 10:15:00 PM,ROBBERY,41.78206,-87.703224
